Language,Subject,Grapheme,L,u,v,BerlinKay
Dutch,17790,B,87.6379900836444,-83.7241687747823,107.068988260685,Green
Dutch,17790,C,91.9092411248639,-41.2491877107489,102.380984025339,Green
Dutch,17790,D,91.9092411248639,-41.2491877107489,102.380984025339,Green
Dutch,17790,E,97.149502721359,7.89814753861037,106.440984408892,Yellow
Dutch,17790,F,44.413560147816,0,-3.20508221030917e-14,Grey
Dutch,17790,G,0,0,0,Black
Dutch,17790,H,37.5534673895087,55.9591005834543,31.5836191342031,Brown
Dutch,17790,I,72.0560779112135,-22.7467742279372,29.0892598686871,Green
Dutch,17790,J,76.8037007514012,-53.0920162740452,-7.21500714949983,Blue
Dutch,17790,K,65.7106971892033,-50.1132637368068,-3.97919661505071,Green
Dutch,17790,L,65.2053513875877,-49.7520858328647,39.9490334457414,Green
Dutch,17790,M,97.149502721359,7.89814753861037,106.440984408892,Yellow
Dutch,17790,N,69.6080844432367,96.4335220556687,65.2253384095396,Orange
Dutch,17790,O,100,3.60822483003176e-14,0,White
Dutch,17790,P,0,0,0,Black
Dutch,17790,Q,53.484183785248,175.364684555026,37.8001664225153,Red
Dutch,17790,R,53.484183785248,175.364684555026,37.8001664225153,Red
Dutch,17790,S,47.2433535975566,138.667884336048,19.7990197962944,Red
Dutch,17790,T,15.8379161271096,-3.65313322957258,-49.2321896028992,Blue
Dutch,17790,U,53.484183785248,175.364684555026,37.8001664225153,Red
Dutch,17790,V,69.6080844432367,96.4335220556687,65.2253384095396,Orange
Dutch,17790,W,56.1068135290404,86.7569051573103,47.6558303453596,Orange
Dutch,17790,X,44.413560147816,0,-3.20508221030917e-14,Grey
Dutch,17790,Y,0,0,0,Black
Dutch,17790,Z,97.149502721359,7.89814753861037,106.440984408892,Yellow
Dutch,37016,A,53.484183785248,175.364684555026,37.8001664225153,Red
Dutch,37016,B,52.4184970914419,-25.4053124502217,-48.3445061182237,Blue
Dutch,37016,C,72.530001127448,-63.406486809027,81.0861247254546,Green
Dutch,37016,D,30.8253879858165,-0.670619819340094,-58.1640561272841,Blue
Dutch,37016,E,69.6080844432367,96.4335220556687,65.2253384095396,Orange
Dutch,37016,F,62.8939833916534,51.6451540667933,-61.5072095850308,Pink
Dutch,37016,G,60.6741121211136,69.2625864962921,-7.70473664798619,Pink
Dutch,37016,H,56.1068135290404,86.7569051573103,47.6558303453596,Orange
Dutch,37016,I,97.149502721359,7.89814753861037,106.440984408892,Yellow
Dutch,37016,J,86.974374109144,35.8559500966277,91.7918137400457,Yellow
Dutch,37016,K,61.8311679279895,57.6015964502802,48.6486780577356,Orange
Dutch,37016,L,44.9368145274019,93.253731767522,-32.4980229151277,Pink
Dutch,37016,M,53.484183785248,175.364684555026,37.8001664225153,Red
Dutch,37016,N,56.1068135290404,86.7569051573103,47.6558303453596,Orange
Dutch,37016,O,24.9236991589903,-7.46811946340464,-100.645623987401,Blue
Dutch,37016,P,14.7177812066563,-4.41002547761507,-59.4326012284432,Blue
Dutch,37016,Q,24.9236991589903,-7.46811946340464,-100.645623987401,Blue
Dutch,37016,R,24.9236991589903,-7.46811946340464,-100.645623987401,Blue
Dutch,37016,S,31.2291244354632,-14.3028253689224,-3.08299918326941,Grey
Dutch,37016,T,30.8253879858165,-0.670619819340094,-58.1640561272841,Blue
